ano_lectivo,provincia,canton,parroquia,tipo_educacion,nivel_educacion,sostenimiento,area,regimen_escolar,total_docentes,total_estudiantes
2023-2024 Inicio,PICHINCHA,RUMIÑAHUI,SANGOLQUI,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,5,12
2023-2024 Inicio,CHIMBORAZO,RIOBAMBA,MALDONADO,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,6,19
2023-2024 Inicio,AZUAY,CUENCA,EL BATAN,Popular Permanente,Bachillerato y Ofertas Intensivas,Particular,Urbana,Sierra,10,279
2023-2024 Inicio,AZUAY,CUENCA,HUAYNACAPAC,Ordinario,Bachillerato,Particular,Urbana,Sierra,5,30
2023-2024 Inicio,LOJA,LOJA,SUCRE,Popular Permanente,Bachillerato,Particular,Urbana,Sierra,4,69
2023-2024 Inicio,LOJA,LOJA,SAN SEBASTIAN,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,5,136
2023-2024 Inicio,ESMERALDAS,ESMERALDAS,ESMERALDAS,Popular Permanente,Bachillerato y Ofertas Intensivas,Particular,Urbana,Costa,8,231
2023-2024 Inicio,PICHINCHA,QUITO,TUMBACO,Popular Permanente,Bachillerato,Particular,Rural,Sierra,4,3
2023-2024 Inicio,TUNGURAHUA,AMBATO,CELIANO MONGE,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,4,155
2023-2024 Inicio,IMBABURA,IBARRA,SAGRARIO,Popular Permanente,Bachillerato y Ofertas Intensivas,Particular,Urbana,Sierra,8,148
2023-2024 Inicio,COTOPAXI,PUJILI,PUJILI,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,7,44
2023-2024 Inicio,IMBABURA,IBARRA,SAGRARIO,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,7,83
2023-2024 Inicio,CHIMBORAZO,RIOBAMBA,VELOZ,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,4,38
2023-2024 Inicio,CHIMBORAZO,RIOBAMBA,VELASCO,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,6,92
2023-2024 Inicio,IMBABURA,IBARRA,CARANQUI,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,8,256
2023-2024 Inicio,IMBABURA,IBARRA,SAN FRANCISCO,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,9,185
2023-2024 Inicio,MANABI,PORTOVIEJO,SAN PABLO,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,4,30
2023-2024 Inicio,PICHINCHA,RUMIÑAHUI,SANGOLQUI,Popular Permanente,Bachillerato y Ofertas Intensivas,Particular,Urbana,Costa,6,49
2023-2024 Inicio,PICHINCHA,RUMIÑAHUI,SANGOLQUI,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,11,71
2023-2024 Inicio,PICHINCHA,RUMIÑAHUI,SANGOLQUI,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,8,90
2023-2024 Inicio,NAPO,TENA,TENA,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,6,32
2023-2024 Inicio,PICHINCHA,CAYAMBE,CAYAMBE,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,7,77
2023-2024 Inicio,COTOPAXI,PANGUA,MORASPUNGO,Popular Permanente,Educación General Básica y Bachillerato,Fiscomisional,Rural,Costa,6,103
2023-2024 Inicio,PICHINCHA,QUITO,SAN ANTONIO,Popular Permanente,Bachillerato y Ofertas Intensivas,Particular,Rural,Costa,3,20
2023-2024 Inicio,PICHINCHA,QUITO,PUEMBO,Ordinario,Bachillerato,Particular,Rural,Sierra,7,59
2023-2024 Inicio,CHIMBORAZO,GUANO,LA MATRIZ,Popular Permanente,Educación General Básica y Bachillerato,Fiscomisional,Urbana,Sierra,2,7
2023-2024 Inicio,PICHINCHA,CAYAMBE,CAYAMBE,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,7,52
2023-2024 Inicio,PICHINCHA,RUMIÑAHUI,SANGOLQUI,Popular Permanente,Bachillerato,Particular,Urbana,Sierra,8,32
2023-2024 Inicio,IMBABURA,IBARRA,SAN FRANCISCO,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,9,295
2023-2024 Inicio,PICHINCHA,QUITO,CHILLOGALLO,Popular Permanente,"Educación General Básica, Bachillerato y Ofertas Intensivas",Particular,Urbana,Costa,8,210
2023-2024 Inicio,PICHINCHA,RUMIÑAHUI,SANGOLQUI,Popular Permanente,Bachillerato,Particular,Urbana,Costa,8,32
2023-2024 Inicio,PICHINCHA,QUITO,BELISARIO QUEVEDO,Ordinario,Bachillerato,Fiscomisional,Urbana,Costa,7,110
2023-2024 Inicio,PICHINCHA,QUITO,COCHAPAMBA,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,6,54
2023-2024 Inicio,PICHINCHA,QUITO,KENNEDY,Ordinario,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,4,22
2023-2024 Inicio,PICHINCHA,QUITO,LA MAGDALENA,Ordinario,Bachillerato,Particular,Urbana,Costa,1,1
2023-2024 Inicio,BOLIVAR,GUARANDA,FACUNDO VELA,Popular Permanente,Bachillerato,Fiscomisional,Rural,Costa,2,3
2023-2024 Inicio,BOLIVAR,GUARANDA,SAN LUIS DE PAMBIL,Popular Permanente,Educación General Básica y Bachillerato,Particular,Rural,Costa,3,20
2023-2024 Inicio,COTOPAXI,PANGUA,EL CORAZON,Popular Permanente,Educación General Básica y Bachillerato,Fiscomisional,Urbana,Costa,7,49
2023-2024 Inicio,MANABI,MANTA,LOS ESTEROS,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,7,65
2023-2024 Inicio,PICHINCHA,QUITO,IÑAQUITO,Ordinario,Educación General Básica y Bachillerato,Fiscal,Urbana,Sierra,43,604
2023-2024 Inicio,PICHINCHA,QUITO,KENNEDY,Ordinario,Educación General Básica y Bachillerato,Particular,Urbana,Costa,4,43
2023-2024 Inicio,PICHINCHA,MEJIA,CUTUGLAHUA,Popular Permanente,Educación General Básica,Particular,Rural,Sierra,6,7
2023-2024 Inicio,MANABI,CHONE,CHONE,Popular Permanente,Educación General Básica y Bachillerato,Fiscomisional,Urbana,Costa,6,17
2023-2024 Inicio,MANABI,FLAVIO ALFARO,FLAVIO ALFARO,Popular Permanente,Educación General Básica y Bachillerato,Fiscomisional,Urbana,Costa,10,177
2023-2024 Inicio,MANABI,CHONE,CANUTO,Popular Permanente,Educación General Básica y Bachillerato,Fiscomisional,Rural,Costa,4,14
2023-2024 Inicio,COTOPAXI,LA MANA,LA MANA,Popular Permanente,Bachillerato y Ofertas Intensivas,Fiscomisional,Urbana,Costa,11,104
2023-2024 Inicio,ESMERALDAS,ESMERALDAS,BARTOLOME RUIZ (CESAR FRANCO CARRION),Popular Permanente,Educación General Básica y Bachillerato,Fiscomisional,Urbana,Costa,42,625
2023-2024 Inicio,AZUAY,CUENCA,CAÑARIBAMBA,Popular Permanente,"Educación General Básica, Bachillerato y Ofertas Intensivas",Fiscomisional,Urbana,Sierra,41,787
2023-2024 Inicio,AZUAY,CUENCA,GIL RAMIREZ DAVALOS,Popular Permanente,Educación General Básica y Bachillerato,Fiscomisional,Urbana,Costa,12,420
2023-2024 Inicio,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Ordinario,Educación General Básica y Bachillerato,Fiscal,Urbana,Costa,49,532
2023-2024 Inicio,LOS RIOS,MOCACHE,MOCACHE,Ordinario,Educación General Básica y Bachillerato,Particular,Urbana,Costa,8,49
2023-2024 Inicio,PICHINCHA,RUMIÑAHUI,SAN PEDRO DE TABOADA,Popular Permanente,Educación General Básica,Particular,Urbana,Sierra,2,3
2023-2024 Inicio,PICHINCHA,QUITO,CENTRO HISTORICO,Ordinario,Educación General Básica y Bachillerato,Municipal,Urbana,Sierra,12,238
2023-2024 Inicio,GUAYAS,BALZAR,BALZAR,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,6,47
2023-2024 Inicio,COTOPAXI,LATACUNGA,ELOY ALFARO (SAN FELIPE),Popular Permanente,Bachillerato y Ofertas Intensivas,Particular,Urbana,Sierra,11,324
2023-2024 Inicio,PICHINCHA,QUITO,POMASQUI,Ordinario,Educación General Básica y Bachillerato,Particular,Rural,Costa,6,68
2023-2024 Inicio,PICHINCHA,QUITO,LA MAGDALENA,Ordinario,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,7,43
2023-2024 Inicio,GUAYAS,GUAYAQUIL,JUAN GOMEZ RENDON (PROGRESO),Ordinario,Educación General Básica y Bachillerato,Particular,Rural,Costa,3,132
2023-2024 Inicio,GUAYAS,DURAN,ELOY ALFARO (DURAN),Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,6,321
2023-2024 Inicio,MANABI,EL CARMEN,EL CARMEN,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,6,40
2023-2024 Inicio,GUAYAS,GUAYAQUIL,TENGUEL,Popular Permanente,Educación General Básica y Bachillerato,Particular,Rural,Costa,11,304
2023-2024 Inicio,NAPO,TENA,TENA,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,4,105
2023-2024 Inicio,MANABI,EL CARMEN,EL CARMEN,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,12,417
2023-2024 Inicio,GUAYAS,GUAYAQUIL,LETAMENDI,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,9,120
2023-2024 Inicio,GUAYAS,GUAYAQUIL,XIMENA,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,12,138
2023-2024 Inicio,PICHINCHA,QUITO,BELISARIO QUEVEDO,Ordinario,"Educación General Básica, Bachillerato y Ofertas Intensivas",Particular,Urbana,Sierra,6,174
2023-2024 Inicio,GUAYAS,SAMBORONDON,TARIFA,Ordinario,"Educación Inicial, Educación General Básica y Bachillerato",Particular,Rural,Costa,28,860
2023-2024 Inicio,GUAYAS,SAMBORONDON,TARIFA,Ordinario,"Educación Inicial, Educación General Básica y Bachillerato",Particular,Rural,Sierra,13,208
2023-2024 Inicio,PICHINCHA,QUITO,CHILLOGALLO,Ordinario,Educación General Básica y Bachillerato,Particular,Urbana,Costa,5,32
2023-2024 Inicio,PICHINCHA,RUMIÑAHUI,SAN RAFAEL,Ordinario,"Educación Inicial, Educación General Básica y Bachillerato",Particular,Urbana,Sierra,8,35
2023-2024 Inicio,PICHINCHA,QUITO,TURUBAMBA,Popular Permanente,Bachillerato y Ofertas Intensivas,Particular,Urbana,Sierra,6,96
2023-2024 Inicio,PICHINCHA,QUITO,MARISCAL SUCRE,Ordinario,Bachillerato,Particular,Urbana,Costa,4,1
2023-2024 Inicio,PICHINCHA,QUITO,CENTRO HISTORICO,Popular Permanente,Bachillerato,Particular,Urbana,Costa,9,37
2023-2024 Inicio,GUAYAS,GUAYAQUIL,ROCAFUERTE,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,7,257
2023-2024 Inicio,GUAYAS,DURAN,ELOY ALFARO (DURAN),Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,3,160
