anio,pib_real_musd,poblacion,pib_percapita_real,variacion_pct
1965,11913.499366873479,5333856,2233.5622421890425,
1966,12163.19031623626,5489552,2215.698169219685,-0.7998018874033952
1967,12636.436990391485,5649957,2236.5545419888126,0.9413002663838821
1968,12927.387326442613,5814989,2223.1146656412616,-0.6009187835678609
1969,13614.093419796764,5984485,2274.8980772442014,2.329318069070574
1970,14578.555757694388,6158194,2367.3427238074,4.06368300575406
1971,15170.138681057872,6335826,2394.342692027507,1.1405179296001045
1972,16542.37903364583,6517052,2538.322393874689,6.013328932679296
1973,17842.23270201036,6701476,2662.4332761932383,4.889484591005666
1974,20056.515647489898,6888846,2911.4478168752644,9.3528931939308
1975,22607.181463662462,7079340,3193.4024165617784,9.684343234738924
1976,23999.687397751506,7273086,3299.794254839212,3.3316138838518805
1977,24454.865904798196,7469958,3273.762169050776,-0.7889002700777414
1978,25713.21302363802,7669741,3352.552977165464,2.4067358606423728
1979,26768.759939445965,7872290,3400.377773106169,1.4265187236844223
1980,27604.70401970091,8077675,3417.4071152529546,0.5008073597431384
1981,30303.882113792966,8286189,3657.155552907732,7.0155070662990315
1982,30804.65672258467,8498305,3624.8000892630557,-0.8847166377418891
1983,31022.134537214468,8715248,3559.52401322538,-1.800818650138214
1984,31929.89989960457,8937841,3572.43991022044,0.3628546105342023
1985,33464.01965354519,9165196,3651.2061120728013,2.204829299634059
1986,34617.438690263756,9395641,3684.4147930155864,0.9095263297511424
1987,35925.60920732987,9628100,3731.329048029193,1.273316324278695
1988,37000.520835600684,9861959,3751.842898109867,0.5497732796175825
1989,38074.78352131346,10097190,3770.8296586786482,0.5060649148808105
1990,40557.04351532084,10333865,3924.673248133282,4.079833972360936
1991,42306.979641947466,10569075,4002.9027745519325,1.9932748912500964
1992,43011.27209541101,10796270,3983.901115423291,-0.47469699362779894
1993,44109.79031779038,11014242,4004.7958196115887,0.5244784843530859
1994,45814.24344609402,11228134,4080.3078629177403,1.8855404047409152
1995,46706.9759664727,11440937,4082.443244506346,0.05233383510132583
1996,49017.33285732826,11653346,4206.28829327888,3.033601237180439
1997,50237.58855090011,11864682,4234.2128133649185,0.6638755629436721
1998,51941.057071329655,12074210,4301.818261511905,1.5966473846944051
1999,49665.731060844955,12281694,4043.8827950643417,-5.995963817330341
2000,52158.03995407137,12480574,4179.13791097039,3.344684372928186
2001,54351.94923581134,12681367,4285.969267809325,2.556301302201547
2002,57030.465666536766,12900668,4420.737411933767,3.1444029507315063
2003,58675.51004391423,13131753,4468.2160899549535,1.0739990548413347
2004,62684.45382679273,13366595,4689.635155908646,4.9554243012433385
2005,66068.55003440834,13604351,4856.427920332866,3.5566255983489725
2006,68936.67386784051,13852369,4976.525955079634,2.472970601374347
2007,70248.1450951015,14106786,4979.741317058436,0.06461057387876501
2008,74859.88108349172,14359090,5213.414017426712,4.692466646165228
2009,75676.61145473529,14616393,5177.516193956696,-0.6885665199430124
2010,78725.72614351373,14883661,5289.40602339127,2.161071549426996
2011,85402.83055997187,15160587,5633.213975156231,6.499934968965215
2012,90341.85725994881,15440550,5850.948137206823,3.865185363290835
2013,96856.62183455059,15717514,6162.337239499237,5.322028071181428
2014,100949.8461118007,15994366,6311.587849859175,2.421980566127968
2015,101070.67466662866,16269171,6212.404717279612,-1.571445014138173
2016,100375.35400413565,16532265,6071.48228050637,-2.2684039946925805
2017,106368.16411547796,16792803,6334.151845613741,4.3262839776494255
2018,107478.96100000001,17077883,6293.459265413636,-0.6424313971614914
2019,107656.73599999999,17356880,6202.53962693756,-1.4446687368857902
2020,97703.76718170314,17526455,5574.645139687583,-10.123183808823056
2021,106909.31128696745,17614396,6069.4281703992265,8.875596891165882
2022,113183.20246843527,17715301,6389.008149984878,5.265405086170305
2023,115433.5540632161,17834831,6472.366015871757,1.304707458967247
