anio,cod_provincia,provincia,cod_canton,canton,sector,vab_usd
2023,1,AZUAY,101,CUENCA,"Agricultura, ganadería, silvicultura y pesca",30999540.0
2023,1,AZUAY,101,CUENCA,Explotación de minas y canteras,34080880.0
2023,1,AZUAY,101,CUENCA,Manufactura,868591100.0
2023,1,AZUAY,101,CUENCA,Suministro de electricidad y de agua,74269810.0
2023,1,AZUAY,101,CUENCA,Construcción,307426400.0
2023,1,AZUAY,101,CUENCA,Comercio,850861890.0
2023,1,AZUAY,101,CUENCA,"Transporte, información y comunicaciones",221583060.0
2023,1,AZUAY,101,CUENCA,Alojamiento y servicios de comida,79801230.0
2023,1,AZUAY,101,CUENCA,Actividades financieras,390243760.0
2023,1,AZUAY,101,CUENCA,Actividades profesionales e inmobiliarias,524390130.0
2023,1,AZUAY,101,CUENCA,Administración pública,195896890.0
2023,1,AZUAY,101,CUENCA,Enseñanza,216153830.0
2023,1,AZUAY,101,CUENCA,Salud,279242550.0
2023,1,AZUAY,101,CUENCA,Otros servicios,90803730.0
2023,1,AZUAY,101,CUENCA,ECONOMÍA TOTAL,4164344800.0
2023,1,AZUAY,102,GIRÓN,"Agricultura, ganadería, silvicultura y pesca",1239910.0
2023,1,AZUAY,102,GIRÓN,Explotación de minas y canteras,192080.0
2023,1,AZUAY,102,GIRÓN,Manufactura,227050.0
2023,1,AZUAY,102,GIRÓN,Suministro de electricidad y de agua,625530.0
2023,1,AZUAY,102,GIRÓN,Construcción,1693830.0
2023,1,AZUAY,102,GIRÓN,Comercio,2717300.0
2023,1,AZUAY,102,GIRÓN,"Transporte, información y comunicaciones",989240.0
2023,1,AZUAY,102,GIRÓN,Alojamiento y servicios de comida,186330.0
2023,1,AZUAY,102,GIRÓN,Actividades financieras,3723350.0
2023,1,AZUAY,102,GIRÓN,Actividades profesionales e inmobiliarias,808660.0
2023,1,AZUAY,102,GIRÓN,Administración pública,5233230.0
2023,1,AZUAY,102,GIRÓN,Enseñanza,2152960.0
2023,1,AZUAY,102,GIRÓN,Salud,519039.99999999994
2023,1,AZUAY,102,GIRÓN,Otros servicios,224040.0
2023,1,AZUAY,102,GIRÓN,ECONOMÍA TOTAL,20532550.0
2023,1,AZUAY,103,GUALACEO,"Agricultura, ganadería, silvicultura y pesca",32744970.0
2023,1,AZUAY,103,GUALACEO,Explotación de minas y canteras,570810.0
2023,1,AZUAY,103,GUALACEO,Manufactura,4091000.0
2023,1,AZUAY,103,GUALACEO,Suministro de electricidad y de agua,1986690.0
2023,1,AZUAY,103,GUALACEO,Construcción,12228690.0
2023,1,AZUAY,103,GUALACEO,Comercio,13175690.0
2023,1,AZUAY,103,GUALACEO,"Transporte, información y comunicaciones",3718090.0
2023,1,AZUAY,103,GUALACEO,Alojamiento y servicios de comida,1336020.0
2023,1,AZUAY,103,GUALACEO,Actividades financieras,11588760.0
2023,1,AZUAY,103,GUALACEO,Actividades profesionales e inmobiliarias,5324340.0
2023,1,AZUAY,103,GUALACEO,Administración pública,15076270.0
2023,1,AZUAY,103,GUALACEO,Enseñanza,8738120.0
2023,1,AZUAY,103,GUALACEO,Salud,3724710.0
2023,1,AZUAY,103,GUALACEO,Otros servicios,1150350.0
2023,1,AZUAY,103,GUALACEO,ECONOMÍA TOTAL,115454510.0
2023,1,AZUAY,104,NABÓN,"Agricultura, ganadería, silvicultura y pesca",5458660.0
2023,1,AZUAY,104,NABÓN,Explotación de minas y canteras,109060.0
2023,1,AZUAY,104,NABÓN,Manufactura,37960.0
2023,1,AZUAY,104,NABÓN,Suministro de electricidad y de agua,249350.0
2023,1,AZUAY,104,NABÓN,Construcción,1141140.0
2023,1,AZUAY,104,NABÓN,Comercio,1224650.0
2023,1,AZUAY,104,NABÓN,"Transporte, información y comunicaciones",1249880.0
2023,1,AZUAY,104,NABÓN,Alojamiento y servicios de comida,34850.0
2023,1,AZUAY,104,NABÓN,Actividades financieras,1317590.0
2023,1,AZUAY,104,NABÓN,Actividades profesionales e inmobiliarias,1865450.0
2023,1,AZUAY,104,NABÓN,Administración pública,7746720.0
2023,1,AZUAY,104,NABÓN,Enseñanza,2363430.0
2023,1,AZUAY,104,NABÓN,Salud,216900.0
2023,1,AZUAY,104,NABÓN,Otros servicios,232660.0
2023,1,AZUAY,104,NABÓN,ECONOMÍA TOTAL,23248300.0
2023,1,AZUAY,105,PAUTE,"Agricultura, ganadería, silvicultura y pesca",16045020.0
2023,1,AZUAY,105,PAUTE,Explotación de minas y canteras,957620.0
2023,1,AZUAY,105,PAUTE,Manufactura,1772620.0
2023,1,AZUAY,105,PAUTE,Suministro de electricidad y de agua,1037160.0000000001
2023,1,AZUAY,105,PAUTE,Construcción,3615040.0
2023,1,AZUAY,105,PAUTE,Comercio,7080190.0
2023,1,AZUAY,105,PAUTE,"Transporte, información y comunicaciones",3240380.0
2023,1,AZUAY,105,PAUTE,Alojamiento y servicios de comida,901630.0
2023,1,AZUAY,105,PAUTE,Actividades financieras,6189560.0
2023,1,AZUAY,105,PAUTE,Actividades profesionales e inmobiliarias,4290680.0
2023,1,AZUAY,105,PAUTE,Administración pública,11853880.0
2023,1,AZUAY,105,PAUTE,Enseñanza,5122430.0
2023,1,AZUAY,105,PAUTE,Salud,1634850.0
2023,1,AZUAY,105,PAUTE,Otros servicios,568350.0
2023,1,AZUAY,105,PAUTE,ECONOMÍA TOTAL,64309410.0
2023,1,AZUAY,106,PUCARÁ,"Agricultura, ganadería, silvicultura y pesca",1775410.0
2023,1,AZUAY,106,PUCARÁ,Explotación de minas y canteras,33240.0
2023,1,AZUAY,106,PUCARÁ,Manufactura,18450.0
2023,1,AZUAY,106,PUCARÁ,Suministro de electricidad y de agua,16985190.0
2023,1,AZUAY,106,PUCARÁ,Construcción,468590.0
2023,1,AZUAY,106,PUCARÁ,Comercio,755810.0
2023,1,AZUAY,106,PUCARÁ,"Transporte, información y comunicaciones",1136940.0
2023,1,AZUAY,106,PUCARÁ,Alojamiento y servicios de comida,170610.0
2023,1,AZUAY,106,PUCARÁ,Actividades financieras,887840.0
2023,1,AZUAY,106,PUCARÁ,Actividades profesionales e inmobiliarias,353520.0
2023,1,AZUAY,106,PUCARÁ,Administración pública,4062500.0
2023,1,AZUAY,106,PUCARÁ,Enseñanza,1637490.0
2023,1,AZUAY,106,PUCARÁ,Salud,45350.0
2023,1,AZUAY,106,PUCARÁ,Otros servicios,119220.0
2023,1,AZUAY,106,PUCARÁ,ECONOMÍA TOTAL,28450160.0
